"OCQ520.Code.or.Value","OCQ520.Value.Description","OCQ520.Count","OCQ520.Cumulative","OCQ520.Skip.to.Item"
"0 to 60","Range of Values",1849,1849,NA
"7777","Refused",0,1849,NA
"9999","Don't know",5,1854,NA
".","Missing",5035,6889,NA
