"VIQ056.Code.or.Value","VIQ056.Value.Description","VIQ056.Count","VIQ056.Cumulative","VIQ056.Skip.to.Item"
"1","No difficulty",4203,4203,NA
"2","A little difficulty",133,4336,NA
"3","Moderate difficulty",22,4358,NA
"4","Extreme difficulty",4,4362,NA
"5","Unable to do because of eyesight",52,4414,NA
"6","Does not do this for other reasons",278,4692,NA
"7","Never drove",286,4978,NA
"77","Refused",0,4978,NA
"99","Don't know",0,4978,NA
".","Missing",2289,7267,NA
