"MPQ120m.Code.or.Value","MPQ120m.Value.Description","MPQ120m.Count","MPQ120m.Cumulative","MPQ120m.Skip.to.Item"
"22","Lower back - right",313,313,NA
".","Missing",4567,4880,NA
