"OSD110c.Code.or.Value","OSD110c.Value.Description","OSD110c.Count","OSD110c.Cumulative","OSD110c.Skip.to.Item"
"22 to 73","Range of Values",19,19,NA
"85","85 or older",0,19,NA
"777","Refused",0,19,NA
"999","Don't know",0,19,NA
".","Missing",4960,4979,NA
