"MCQ160D.Code.or.Value","MCQ160D.Value.Description","MCQ160D.Count","MCQ160D.Cumulative","MCQ160D.Skip.to.Item"
"1","Yes",199,199,"MCQ180D"
"2","No",5180,5379,""
"7","Refused",0,5379,""
"9","Don't know",31,5410,""
".","Missing",5060,10470,""
