"DR1IATOA.Code.or.Value","DR1IATOA.Value.Description","DR1IATOA.Count","DR1IATOA.Cumulative","DR1IATOA.Skip.to.Item"
"0 to 62.7","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
