"LBCBR5.Code.or.Value","LBCBR5.Value.Description","LBCBR5.Count","LBCBR5.Cumulative","LBCBR5.Skip.to.Item"
"4.958 to 229.6","Range of Values",251,251,NA
".","Missing",0,251,NA
