"LBDDFSLC.Code.or.Value","LBDDFSLC.Value.Description","LBDDFSLC.Count","LBDDFSLC.Cumulative","LBDDFSLC.Skip.to.Item"
"0","At or above limit of detection",1020,1020,NA
"1","Below limit of detection",183,1203,NA
".","Missing",127,1330,NA
