"DR2ICAFF.Code.or.Value","DR2ICAFF.Value.Description","DR2ICAFF.Count","DR2ICAFF.Cumulative","DR2ICAFF.Skip.to.Item"
"0 to 2549","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
