"WTSB2YRA.Code.or.Value","WTSB2YRA.Value.Description","WTSB2YRA.Count","WTSB2YRA.Cumulative","WTSB2YRA.Skip.to.Item"
"0 to 507800.72923","Range of Values",2318,2318,NA
".","Missing",0,2318,NA
