"GTDDR2MN.Code.or.Value","GTDDR2MN.Value.Description","GTDDR2MN.Count","GTDDR2MN.Cumulative","GTDDR2MN.Skip.to.Item"
"40 to 140","Range of Values",2249,2249,NA
".","Missing",1066,3315,NA
