"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"66 to 470","Range of Values",6409,6409,NA
"7777","Refused",4,6413,NA
"9999","Don't know",47,6460,NA
".","Missing",86,6546,NA
