"RHD080.Code.or.Value","RHD080.Value.Description","RHD080.Count","RHD080.Cumulative","RHD080.Skip.to.Item"
"0 to 364","Range of Values",1645,1645,NA
"777","Refused",0,1645,NA
"999","Don't know",3,1648,NA
".","Missing",1916,3564,NA
