"CBD170.Code.or.Value","CBD170.Value.Description","CBD170.Count","CBD170.Cumulative","CBD170.Skip.to.Item"
"0 to 720","Range of Values",9422,9422,NA
"77777","Refused",6,9428,NA
"99999","Don't know",51,9479,NA
".","Missing",670,10149,NA
