"DRQ300.Code.or.Value","DRQ300.Value.Description","DRQ300.Count","DRQ300.Cumulative","DRQ300.Skip.to.Item"
"1","Usual",5499,5499,NA
"2","Less than usual",2314,7813,NA
"3","More than usual",1004,8817,NA
"9","Don't know",47,8864,NA
".","Missing",418,9282,NA
