"PUQ100.Code.or.Value","PUQ100.Value.Description","PUQ100.Count","PUQ100.Cumulative","PUQ100.Skip.to.Item"
"1","Yes",774,774,NA
"2","No",6750,7524,NA
"7","Refused",0,7524,NA
"9","Don't know",72,7596,NA
".","Missing",490,8086,NA
