"WBXF015.Code.or.Value","WBXF015.Value.Description","WBXF015.Count","WBXF015.Cumulative","WBXF015.Skip.to.Item"
"545.2539 to 545.2539","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
