"DSQTPFAT.Code.or.Value","DSQTPFAT.Value.Description","DSQTPFAT.Count","DSQTPFAT.Cumulative","DSQTPFAT.Skip.to.Item"
"0.017 to 4","Range of Values",270,270,NA
".","Missing",9701,9971,NA
