"DS2TSUGR.Code.or.Value","DS2TSUGR.Value.Description","DS2TSUGR.Count","DS2TSUGR.Cumulative","DS2TSUGR.Skip.to.Item"
"0.5 to 18","Range of Values",535,535,NA
".","Missing",9718,10253,NA
