"LBDF07LC.Code.or.Value","LBDF07LC.Value.Description","LBDF07LC.Count","LBDF07LC.Cumulative","LBDF07LC.Skip.to.Item"
"0","detectable result",133,133,NA
"1","below detectable limit",1097,1230,NA
".","Missing",1317,2547,NA
