"DXXGYTV.Code.or.Value","DXXGYTV.Value.Description","DXXGYTV.Count","DXXGYTV.Cumulative","DXXGYTV.Skip.to.Item"
"0","Valid",5094,5094,NA
"1","Invalid",21,5115,NA
".","Missing",665,5780,NA
