"DSXMM1LD.Code.or.Value","DSXMM1LD.Value.Description","DSXMM1LD.Count","DSXMM1LD.Cumulative","DSXMM1LD.Skip.to.Item"
"0.1 to 0.1","Range of Values",1087,1087,NA
".","Missing",8353,9440,NA
