"BIDECF.Code.or.Value","BIDECF.Value.Description","BIDECF.Count","BIDECF.Cumulative","BIDECF.Skip.to.Item"
"4.56 to 29.63","Range of Values",4504,4504,NA
".","Missing",1445,5949,NA
