"WBXA010.Code.or.Value","WBXA010.Value.Description","WBXA010.Count","WBXA010.Cumulative","WBXA010.Skip.to.Item"
"-4.7542 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
