"DMDBORN4.Code.or.Value","DMDBORN4.Value.Description","DMDBORN4.Count","DMDBORN4.Cumulative","DMDBORN4.Skip.to.Item"
"1","Born in 50 US states or Washington, DC",7668,7668,NA
"2","Others",2083,9751,NA
"77","Refused",2,9753,NA
"99","Don't Know",3,9756,NA
".","Missing",0,9756,NA
