"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement name","Value was recorded",8380,8380,NA
"7777","Refused",4,8384,NA
"9999","Don't know",32,8416,NA
"< blank >","Missing",0,8416,NA
