"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.021 to 6.42","Range of Values",309,309,NA
".","Missing",542,851,NA
