"OSD030cc.Code.or.Value","OSD030cc.Value.Description","OSD030cc.Count","OSD030cc.Cumulative","OSD030cc.Skip.to.Item"
"32 to 72","Range of Values",5,5,NA
"85","85 or older",0,5,NA
"77777","Refused",0,5,NA
"99999","Don't know",1,6,NA
".","Missing",4973,4979,NA
