"LBXWBCSI.Code.or.Value","LBXWBCSI.Value.Description","LBXWBCSI.Count","LBXWBCSI.Cumulative","LBXWBCSI.Skip.to.Item"
"2.3 to 55.7","Range of Values",8544,8544,NA
".","Missing",878,9422,NA
