"URXTRN.Code.or.Value","URXTRN.Value.Description","URXTRN.Count","URXTRN.Cumulative","URXTRN.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2494,2494,NA
".","Missing",200,2694,NA
