"PFD069L.Code.or.Value","PFD069L.Value.Description","PFD069L.Count","PFD069L.Cumulative","PFD069L.Skip.to.Item"
"6575","6575",1,1,NA
"66666","Since birth",7,8,NA
"77777","Refused",0,8,NA
"99999","Don't know",0,8,NA
".","Missing",9814,9822,NA
