"DRD350EQ.Code.or.Value","DRD350EQ.Value.Description","DRD350EQ.Count","DRD350EQ.Cumulative","DRD350EQ.Skip.to.Item"
"1 to 12","Range of Values",246,246,NA
".","Missing",9092,9338,NA
