"URDOP6LC.Code.or.Value","URDOP6LC.Value.Description","URDOP6LC.Count","URDOP6LC.Cumulative","URDOP6LC.Skip.to.Item"
"0","At or above the detection limit",9,9,NA
"1","Below lower detection limit",2411,2420,NA
".","Missing",336,2756,NA
