"DR2IS180.Code.or.Value","DR2IS180.Value.Description","DR2IS180.Count","DR2IS180.Cumulative","DR2IS180.Skip.to.Item"
"0 to 25.016","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
