"LBXBGE.Code.or.Value","LBXBGE.Value.Description","LBXBGE.Count","LBXBGE.Cumulative","LBXBGE.Skip.to.Item"
"0.11 to 0.5","Range of Values",4936,4936,NA
".","Missing",879,5815,NA
