"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.26 to 1965.31","Range of Values",2635,2635,NA
".","Missing",121,2756,NA
