"DID350.Code.or.Value","DID350.Value.Description","DID350.Count","DID350.Cumulative","DID350.Skip.to.Item"
"1 to 52","Range of Values",583,583,NA
"0","None",125,708,NA
"7777","Refused",0,708,NA
"9999","Don't know",2,710,NA
".","Missing",8956,9666,NA
