"PAXSTEP.Code.or.Value","PAXSTEP.Value.Description","PAXSTEP.Count","PAXSTEP.Cumulative","PAXSTEP.Skip.to.Item"
"0 to 32767","Range of Values",74874033,74874043,NA
".","Missing",62,74874095,NA
