"PFQ069eQ.Code.or.Value","PFQ069eQ.Value.Description","PFQ069eQ.Count","PFQ069eQ.Cumulative","PFQ069eQ.Skip.to.Item"
"18 to 50","Range of Values",2,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",9491,9493,NA
