"BMISUB.Code.or.Value","BMISUB.Value.Description","BMISUB.Count","BMISUB.Cumulative","BMISUB.Skip.to.Item"
"1","Could not obtain",1283,1283,NA
"2","Exceeds capacity",90,1373,NA
"3","Hard to obtain",0,1373,NA
".","Missing",8270,9643,NA
