"CIQP32.Code.or.Value","CIQP32.Value.Description","CIQP32.Count","CIQP32.Cumulative","CIQP32.Skip.to.Item"
"0 to 365","Range of Values",51,51,NA
"900","900 +",0,51,NA
"7777","Refused",0,51,NA
"9999","Don't know",2,53,NA
".","Missing",797,850,NA
