"URXMCP.Code.or.Value","URXMCP.Value.Description","URXMCP.Count","URXMCP.Cumulative","URXMCP.Skip.to.Item"
"0.4264 to 30.552","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
