"DXDLALE.Code.or.Value","DXDLALE.Value.Description","DXDLALE.Count","DXDLALE.Cumulative","DXDLALE.Skip.to.Item"
"585.6 to 8611.3","Range of Values",4985,4985,NA
".","Missing",795,5780,NA
