"DSD128GG.Code.or.Value","DSD128GG.Value.Description","DSD128GG.Count","DSD128GG.Cumulative","DSD128GG.Skip.to.Item"
"41","FOR ANTIOXIDANTS",15,15,NA
".","Missing",8385,8400,NA
