"SMD080.Code.or.Value","SMD080.Value.Description","SMD080.Count","SMD080.Cumulative","SMD080.Skip.to.Item"
"0 to 30","Range of Values",998,998,NA
"77","Refused",1,999,NA
"99","Don't know",0,999,NA
".","Missing",3881,4880,NA
