"OSD030ba.Code.or.Value","OSD030ba.Value.Description","OSD030ba.Count","OSD030ba.Cumulative","OSD030ba.Skip.to.Item"
"1 to 83","Range of Values",462,462,NA
"85","85 or older",4,466,NA
"77777","Refused",0,466,NA
"99999","Don't know",5,471,NA
".","Missing",4508,4979,NA
