"DR2TNIAC.Code.or.Value","DR2TNIAC.Value.Description","DR2TNIAC.Count","DR2TNIAC.Cumulative","DR2TNIAC.Skip.to.Item"
"0 to 153.374","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
