"DR1TP225.Code.or.Value","DR1TP225.Value.Description","DR1TP225.Count","DR1TP225.Cumulative","DR1TP225.Skip.to.Item"
"0 to 1.073","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
