"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.71 to 25.7","Range of Values",6375,6375,NA
".","Missing",542,6917,NA
