"SXD030.Code.or.Value","SXD030.Value.Description","SXD030.Count","SXD030.Cumulative","SXD030.Skip.to.Item"
"10 to 40","Range of Values",2849,2849,NA
"9","9 or fewer",55,2904,NA
"777","Refused",9,2913,NA
"999","Don't know",5,2918,NA
".","Missing",481,3399,NA
