"DRXTCAFF.Code.or.Value","DRXTCAFF.Value.Description","DRXTCAFF.Count","DRXTCAFF.Cumulative","DRXTCAFF.Skip.to.Item"
"0 to 4159.92","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
