"BIXC005K.Code.or.Value","BIXC005K.Value.Description","BIXC005K.Count","BIXC005K.Cumulative","BIXC005K.Skip.to.Item"
"12.9 to 675.16","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
