"DR1_320Z.Code.or.Value","DR1_320Z.Value.Description","DR1_320Z.Count","DR1_320Z.Cumulative","DR1_320Z.Skip.to.Item"
"0 to 12886.88","Range of Values",8519,8519,NA
".","Missing",819,9338,NA
