"LBCBR66.Code.or.Value","LBCBR66.Value.Description","LBCBR66.Count","LBCBR66.Cumulative","LBCBR66.Skip.to.Item"
"1.98 to 9.929","Range of Values",284,284,NA
".","Missing",0,284,NA
