"LBDVIESI.Code.or.Value","LBDVIESI.Value.Description","LBDVIESI.Count","LBDVIESI.Cumulative","LBDVIESI.Skip.to.Item"
"1.748 to 303.808","Range of Values",8365,8365,NA
".","Missing",897,9262,NA
