"DS2TPFAT.Code.or.Value","DS2TPFAT.Value.Description","DS2TPFAT.Count","DS2TPFAT.Cumulative","DS2TPFAT.Skip.to.Item"
"0.231 to 10","Range of Values",239,239,NA
".","Missing",9099,9338,NA
