"CIQDPB.Code.or.Value","CIQDPB.Value.Description","CIQDPB.Count","CIQDPB.Cumulative","CIQDPB.Skip.to.Item"
"1","Yes",4,4,"CIQDPD"
"2","No",57,61,""
"7","Refuse",0,61,""
"9","Don't know",0,61,""
".","Missing",867,928,""
