"MCQ083.Code.or.Value","MCQ083.Value.Description","MCQ083.Count","MCQ083.Cumulative","MCQ083.Skip.to.Item"
"1","Yes",312,312,NA
"2","No",2591,2903,NA
"7","Refused",0,2903,NA
"9","Don't know",5,2908,NA
".","Missing",7562,10470,NA
