"TYXP144.Code.or.Value","TYXP144.Value.Description","TYXP144.Count","TYXP144.Cumulative","TYXP144.Skip.to.Item"
"-297 to 22","Range of Values",7038,7038,NA
".","Missing",1431,8469,NA
