"RHQ141.Code.or.Value","RHQ141.Value.Description","RHQ141.Count","RHQ141.Cumulative","RHQ141.Skip.to.Item"
"1","Yes",270,270,""
"2","No",673,943,"RHQ160"
"7","Refused",0,943,"RHQ160"
"9","Don't know",12,955,"RHQ160"
".","Missing",2910,3865,""
