"WHD045.Code.or.Value","WHD045.Value.Description","WHD045.Count","WHD045.Cumulative","WHD045.Skip.to.Item"
"75 to 360","Range of Values",4343,4343,NA
"77777","Refused",0,4343,NA
"99999","Don't know",18,4361,NA
".","Missing",2185,6546,NA
