"PAD600.Code.or.Value","PAD600.Value.Description","PAD600.Count","PAD600.Cumulative","PAD600.Skip.to.Item"
"0","Less than 1 hour",764,764,NA
"1","1 hour",407,1171,NA
"2","2 hours",164,1335,NA
"3","3 hours",64,1399,NA
"4","4 hours",20,1419,NA
"5","5 hours or more",35,1454,NA
"6","None",773,2227,NA
"77","Refused",1,2228,NA
"99","Don't know",0,2228,NA
".","Missing",7543,9771,NA
