"DR2IS080.Code.or.Value","DR2IS080.Value.Description","DR2IS080.Count","DR2IS080.Cumulative","DR2IS080.Skip.to.Item"
"0 to 3.041","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
