"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.36 to 34.99","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
